date,cur,val
2017-04-01,EUR,59.8107
2017-04-01,USD,55.9606
2017-04-01,GBP,69.7605
2017-04-04,EUR,59.8953
2017-04-04,USD,56.1396
2017-04-04,GBP,70.3429
2017-04-05,EUR,60.2427
2017-04-05,USD,56.5553
2017-04-05,GBP,70.3548
2017-04-06,EUR,59.6948
2017-04-06,USD,55.894
2017-04-06,GBP,69.4986
2017-04-07,EUR,60.0827
2017-04-07,USD,56.4369
2017-04-07,GBP,70.3655
2017-04-08,EUR,60.5687
2017-04-08,USD,56.9201
2017-04-08,GBP,70.9281
2017-04-11,EUR,60.7469
2017-04-11,USD,57.3896
2017-04-11,GBP,71.1746
2017-04-12,EUR,60.3042
2017-04-12,USD,56.9552
2017-04-12,GBP,70.7384
2017-04-13,EUR,60.2631
2017-04-13,USD,56.7556
2017-04-13,GBP,70.9502
2017-04-14,EUR,60.2867
2017-04-14,USD,56.6019
2017-04-14,GBP,71.0467
2017-04-15,EUR,59.7791
2017-04-15,USD,56.2945
2017-04-15,GBP,70.4413
